loss_dB,B4_n1e8,B1_n1e8,B4_n1e10,B1_n1e10,B4_n1e12,B1_n1e12,B4_asym,B1_asym
17.0,0.0,0.0012321951203460677,0.008254981271099476,0.008444194960475047,0.010689306540050483,0.010293664551323634,0.011387987319018727,0.010804828394741992
18.0,0.0,1.423020735928294e-05,0.006169104563873495,0.00641792211230955,0.00840235443832976,0.008109261301084358,0.009045799864178646,0.008582580265294196
19.0,0.0,0.0,0.004550931024287399,0.004816981218799783,0.006588478266535603,0.006378536745900141,0.007185334237782172,0.006817385831510596
20.0,0.0,0.0,0.003301194567168581,0.0035759687980843856,0.005155201489413157,0.005007680624935966,0.005707513861001453,0.005415242052978138
21.0,0.0,0.0,0.0023359369213370716,0.0026127637133702567,0.00402412823748068,0.0039259987725774785,0.004533639409873651,0.004301479660546818
22.0,0.0,0.0,0.0016052008548911407,0.0018682771478109226,0.0031310571619377627,0.0030679717552248007,0.00360119778932137,0.0034167867454645553
23.0,0.0,0.0,0.0010508433880480205,0.0013001808002496352,0.0024247998901407606,0.002391139878871679,0.0028605330828846303,0.002714050183954185
24.0,0.0,0.0,0.0006399810567976001,0.0008641861523848284,0.0018700386857073174,0.0018581681668487515,0.002272202194098155,0.002155846691573439
25.0,0.0,0.0,0.00034738453724782637,0.0005401840185478954,0.0014359796514119806,0.0014370536578457828,0.0018048743577746265,0.001712449896853712
26.0,0.0,0.0,0.00013862874605927034,0.0002962526339329072,0.0010921342001575705,0.001105146868233371,0.0014336626625102399,0.0013602473036215866
27.0,0.0,0.0,0.0,0.0001232718519920401,0.0008258850123776006,0.0008451295339330058,0.0011387987319018723,0.0010804828394741983
28.0,0.0,0.0,0.0,1.4753606933620292e-06,0.0006172973416550031,0.0006418833038826547,0.0009045799864178651,0.0008582580265294199
29.0,0.0,0.0,0.0,0.0,0.0004543889040411586,0.0004814607990377433,0.0007185334237782173,0.0006817385831510597
30.0,0.0,0.0,0.0,0.0,0.00033038233188870965,0.0003577446182232777,0.0005707513861001451,0.0005415242052978137
31.0,0.0,0.0,0.0,0.0,0.00023299366730548203,0.00026142410975186483,0.0004533639409873651,0.00043014796605468186
32.0,0.0,0.0,0.0,0.0,0.0001605638567441602,0.00018636224194475498,0.000360119778932137,0.00034167867454645547
33.0,0.0,0.0,0.0,0.0,0.00010512811005984828,0.00013013705342425206,0.0002860533082884631,0.0002714050183954185
34.0,0.0,0.0,0.0,0.0,6.410553200198111e-05,8.612458620393394e-05,0.0002272202194098155,0.0002155846691573439
35.0,0.0,0.0,0.0,0.0,3.4502173641915045e-05,5.4036890234474614e-05,0.00018048743577746265,0.00017124498968537117
36.0,0.0,0.0,0.0,0.0,1.3885225966818706e-05,2.9658312175857606e-05,0.00014336626625102402,0.00013602473036215866
37.0,0.0,0.0,0.0,0.0,0.0,1.2207537455620553e-05,0.0001138798731901872,0.00010804828394741985
38.0,0.0,0.0,0.0,0.0,0.0,2.788832575276494e-08,9.045799864178653e-05,8.582580265294201e-05
39.0,0.0,0.0,0.0,0.0,0.0,0.0,7.185334237782171e-05,6.817385831510596e-05
40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7075138610014523e-05,5.415242052978139e-05
